Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area
R0039120,SFR,4634,,BEDFORD,CT,,UNINCORPORATED,Multi Sty,Avg,1968,2041.0,1017,0.0,1017.0,Attached,558,10829.0,3557854,2016-11-14,471000,559812.786664758,401
R0038389,SFR,4728,,BERKSHIRE,CT,,UNINCORPORATED,Ranch,Avg ++,2000,1412.0,1412,1200.0,212.0,Attached,462,9889.0,3522134,2016-05-13,623000,761420.599205968,401
R0038361,SFR,4690,,BERKSHIRE,PL,,UNINCORPORATED,Split level,Good,2006,2031.0,575,500.0,75.0,Attached,276,12280.0,3651777,2018-04-18,654500,718797.675327165,401
R0038639,SFR,7654,,BERWICK,CT,,UNINCORPORATED,Ranch,Avg,1971,1050.0,1050,0.0,1050.0,Attached,475,11291.0,3459798,2015-07-13,440000,591322.717519991,401
R0038206,SFR,7663,,BERWICK,CT,,UNINCORPORATED,Ranch,Avg,1971,1050.0,1050,0.0,1050.0,Attached,475,9172.0,3617630,2017-09-29,388600,440893.39128039,401
R0038206,SFR,7663,,BERWICK,CT,,UNINCORPORATED,Ranch,Avg ++,2011,1050.0,1050,1050.0,0.0,Attached,475,9172.0,3656035,2018-05-16,555000,606695.655094588,401
R0038045,SFR,7670,,BERWICK,CT,,UNINCORPORATED,Ranch,Avg,1985,1050.0,1050,780.0,270.0,Attached,475,13360.0,3506896,2016-03-11,435000,541842.285747084,401
R0038218,SFR,7675,,BERWICK,CT,,UNINCORPORATED,Split level,Avg,1995,850.0,500,500.0,0.0,Attached,475,13196.0,3589746,2017-04-28,481200,558794.301352477,401
R0038218,SFR,7675,,BERWICK,CT,,UNINCORPORATED,Split level,Avg,1995,850.0,500,500.0,0.0,Attached,475,13196.0,3736149,2019-09-10,545000,562006.424071931,401
R0061466,SFR,7176,,BLUE GRASS,CT,,UNINCORPORATED,Multi Sty,Avg,1974,1857.0,642,642.0,0.0,Attached,480,11570.0,3773150,2020-03-18,585000,591022.650582987,401
R0061472,SFR,7177,,BLUEGRASS,CT,,UNINCORPORATED,Split level,Good +,1999,1595.0,1278,588.0,690.0,Attached,462,14129.0,3691084,2018-12-19,768600,817315.87653758,401
R0055535,SFR,5564,,BOWRON,PL,,UNINCORPORATED,Multi Sty,Avg +,1964,1396.0,806,400.0,406.0,Attached,504,15523.0,3490751,2015-12-14,420000,538274.147522962,401
R0055269,SFR,5620,,BOWRON,PL,,UNINCORPORATED,Ranch,Good,1996,2028.0,0,0.0,0.0,Detached,572,12819.0,3671303,2018-08-10,590000,636022.64566332,401
R0055560,SFR,5632,,BOWRON,PL,,UNINCORPORATED,Ranch,Avg ++,2009,1396.0,0,0.0,0.0,Attached,360,11950.0,3787840,2020-05-29,560000,561915.2,401
R0101383,SFR,4806,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg,1986,1462.0,706,0.0,706.0,Attached,400,2821.0,3493870,2015-12-30,499000,639520.951461805,401
R0101396,SFR,4815,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg ++,1985,936.0,572,572.0,0.0,Attached,240,3243.0,3521405,2016-06-01,449900,547310.092884917,401
R0101387,SFR,4816,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg ++,1994,1366.0,671,671.0,0.0,Attached,240,2784.0,3734143,2019-08-30,570000,589796.765218508,401
R0101397,SFR,4817,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg ++,2000,1088.0,612,612.0,0.0,Attached,240,3344.0,3779540,2020-04-24,550000,553768.43302,401
R0101371,SFR,4832,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg,1986,1725.0,648,564.0,84.0,None,0,2836.0,3504461,2016-03-02,452500,563640.538621967,401
R0101374,SFR,4838,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg,1987,1428.0,728,728.0,0.0,Attached,320,2954.0,3572165,2017-01-27,508000,598201.360335914,401
R0101378,SFR,4848,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg,1998,1252.0,562,412.0,150.0,Attached,480,2857.0,3604145,2017-07-14,541500,620108.203272823,401
R0101369,SFR,4866,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg,1993,936.0,0,0.0,0.0,Attached,240,3281.0,3673293,2018-08-21,445000,479711.995457928,401
R0101359,SFR,4892,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg,1991,1106.0,660,600.0,60.0,Attached,192,3502.0,3617893,2017-09-25,492500,558775.077729264,401
R0101356,SFR,4898,,BRANDON CREEK,DR,,BOULDER,Multi Sty,Avg ++,2011,1080.0,612,612.0,0.0,Attached,240,2936.0,3681819,2018-10-17,568000,608139.75802074,401
R0110602,SFR,5912,,BRANDYWINE,CT,,BOULDER,Multi Sty,Good,1998,2254.0,1226,613.0,613.0,Attached,580,8979.0,3792300,2020-06-18,825000,825000.0,401
R0110599,SFR,5935,,BRANDYWINE,CT,,BOULDER,Multi Sty,Good,1992,2467.0,1057,1057.0,0.0,Attached,607,9902.0,3646199,2018-03-20,669500,738697.630152575,401
R0110595,SFR,5989,,BRANDYWINE,CT,,BOULDER,Multi Sty,Good,2000,1919.0,1009,0.0,1009.0,Attached,620,6565.0,3493730,2015-12-29,576000,738204.545174348,401
R0110593,SFR,6033,,BRANDYWINE,CT,,BOULDER,Multi Sty,Good,2005,2310.0,1264,990.0,274.0,Attached,614,6729.0,3698669,2019-02-15,855700,903744.320444026,401
R0038124,SFR,4794,,BRIAR RIDGE,TRL,,UNINCORPORATED,Multi Sty,Good,2003,2564.0,1152,1037.0,115.0,Attached,462,12055.0,3529125,2016-07-07,700000,847610.625747501,401
R0113374,SFR,7354,,BUCKINGHAM,CT,,UNINCORPORATED,Ranch,Good ++,1993,1261.0,1261,1099.0,162.0,Attached,480,4868.0,3553939,2016-10-27,502000,599438.641515519,401
R0113374,SFR,7354,,BUCKINGHAM,CT,,UNINCORPORATED,Ranch,Good ++,1993,1261.0,1261,1099.0,162.0,Attached,480,4868.0,3597886,2017-06-15,575000,661539.790974225,401
R0113365,SFR,7365,,BUCKINGHAM,CT,,UNINCORPORATED,Ranch,Good,2000,1471.0,1407,1357.0,50.0,Attached,458,5097.0,3587584,2017-04-17,656400,762245.593116721,401
