Eff Yr Built,Above Grd SF,Basemt Fin SF,Basemt Unf SF,Garage SF,Est Land SF,Unincorporated,Quality_cat,Garage Attached,Design_1 Sty Townh,Design_Bi Level,Design_Condo,Design_Modular,Design_Multi Sty,Design_Multi Sty Townh,Design_Paired,Design_Patio,Design_Ranch,Design_Split level,Market Area_101,Market Area_102,Market Area_103,Market Area_104,Market Area_105,Market Area_106,Market Area_107,Market Area_108,Market Area_109,Market Area_401,Market Area_402,Market Area_403,Market Area_404,Market Area_405,Market Area_407,Market Area_501,Market Area_502,Market Area_503,Market Area_505,Market Area_506,Market Area_507,Market Area_630,Market Area_632,Market Area_633,Market Area_634,Time Adjust Sales Price,Property Type_DUP_TRI,Property Type_RCON,Property Type_SFR,Property Type_TWNHM
1984,2116.0,1470.0,618.0,594,8071.0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845182.853819966,0,0,1,0
1997,1943.0,625.0,401.0,484,5659.0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770947.414838071,0,0,1,0
1980,2048.0,0.0,1024.0,722,3909.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480000.0,1,0,0,0
1980,2048.0,0.0,1024.0,902,5830.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480000.0,1,0,0,0
1998,1704.0,892.0,0.0,483,6789.0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685690.55726002,0,0,1,0
1985,1702.0,492.0,0.0,440,5648.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577982.339991022,0,0,1,0
2002,1702.0,492.0,0.0,440,5648.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706667.998815597,0,0,1,0
2006,1448.0,0.0,694.0,440,6364.0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658471.314647965,0,0,1,0
1985,1192.0,0.0,0.0,304,5624.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355731.427557163,0,0,1,0
1990,2156.0,0.0,0.0,528,8482.0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638536.017799414,0,0,1,0
1973,1192.0,0.0,0.0,304,4571.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437637.972341509,0,0,1,0
1995,1469.0,725.0,0.0,500,8537.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638536.017799414,0,0,1,0
1972,1504.0,376.0,1128.0,480,11259.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540723.973093881,0,0,1,0
1973,1407.0,0.0,0.0,476,7383.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480705.921617335,0,0,1,0
2001,1707.0,558.0,400.0,420,4760.0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632873.466141882,0,0,1,0
2001,2162.0,0.0,1082.0,440,6680.0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668855.064312597,0,0,1,0
1996,1477.0,997.0,0.0,400,4576.0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641719.540035899,0,0,1,0
1996,1477.0,997.0,0.0,400,4576.0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612975.937010385,0,0,1,0
2001,1830.0,0.0,921.0,420,4566.0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621100.814575623,0,0,1,0
2002,1698.0,800.0,62.0,460,4839.0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674076.617908424,0,0,1,0
2012,1698.0,350.0,152.0,460,4448.0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706148.593424418,0,0,1,0
2015,2466.0,946.0,0.0,441,6674.0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978847.379862761,0,0,1,0
2015,2506.0,0.0,1256.0,708,8771.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963936.479283703,0,0,1,0
1997,1282.0,868.0,96.0,400,5308.0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620937.677321132,0,0,1,0
2003,1282.0,868.0,96.0,400,5308.0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650751.45166962,0,0,1,0
1968,2041.0,0.0,1017.0,558,10829.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559812.786664758,0,0,1,0
2000,1412.0,1200.0,212.0,462,9889.0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761420.599205968,0,0,1,0
2006,2031.0,500.0,75.0,276,12280.0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718797.675327165,0,0,1,0
1971,1050.0,0.0,1050.0,475,11291.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591322.717519991,0,0,1,0
1971,1050.0,0.0,1050.0,475,9172.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440893.39128039,0,0,1,0
2011,1050.0,1050.0,0.0,475,9172.0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606695.655094588,0,0,1,0
1985,1050.0,780.0,270.0,475,13360.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541842.285747084,0,0,1,0
1995,850.0,500.0,0.0,475,13196.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558794.301352477,0,0,1,0
1995,850.0,500.0,0.0,475,13196.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562006.424071931,0,0,1,0
1974,1857.0,642.0,0.0,480,11570.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591022.650582987,0,0,1,0
1999,1595.0,588.0,690.0,462,14129.0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817315.87653758,0,0,1,0
1964,1396.0,400.0,406.0,504,15523.0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538274.147522962,0,0,1,0
1996,2028.0,0.0,0.0,572,12819.0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636022.64566332,0,0,1,0
